NumJour;Heure;WE;HBureau;Vacances;HScolaire;NbVehicules
6;6;1;0;0;0;7
6;7;1;0;0;0;7
6;8;1;1;0;0;16
6;9;1;1;0;0;25
6;10;1;1;0;0;30
6;11;1;1;0;0;33
6;12;1;1;0;0;23
6;13;1;1;0;0;29
6;14;1;1;0;0;23
6;15;1;1;0;0;189
6;16;1;1;0;0;134
6;17;1;1;0;0;28
6;18;1;1;0;0;31
6;19;1;0;0;0;20
6;20;1;0;0;0;25
6;21;1;0;0;0;9
6;22;1;0;0;0;9
6;23;1;0;0;0;5
7;0;1;0;0;0;5
7;1;1;0;0;0;3
7;2;1;0;0;0;2
7;3;1;0;0;0;2
